ar,wg,chapter,Total,country_id,Country
1,1,1,14,113,USA
1,1,1,6,36,Germany
1,1,1,4,117,United Kingdom
1,1,1,2,6,Australia
1,1,1,2,35,France
1,1,1,2,101,Sweden
1,1,1,2,102,Switzerland
1,1,1,1,10,Belgium
1,1,1,1,16,Brazil
1,1,1,1,23,China
1,1,1,1,44,India
1,1,1,1,51,Japan
1,1,1,1,1,N/A
1,1,10,17,113,USA
1,1,10,11,117,United Kingdom
1,1,10,1,6,Australia
1,1,10,1,16,Brazil
1,1,10,1,20,Canada
1,1,10,1,28,Denmark
1,1,10,1,35,France
1,1,10,1,44,India
1,1,10,1,107,Netherlands
1,1,10,1,82,Poland
1,1,10,1,99,Sudan
1,1,10,1,101,Sweden
1,1,11,2,113,USA
1,1,11,1,20,Canada
1,1,11,1,102,Switzerland
1,1,11,1,117,United Kingdom
1,1,12,9,113,USA
1,1,12,8,117,United Kingdom
1,1,12,4,36,Germany
1,1,12,3,114,USSR
1,1,12,2,6,Australia
1,1,12,2,75,Norway
1,1,12,1,20,Canada
1,1,12,1,107,Netherlands
1,1,12,1,81,Philippines
1,1,12,1,102,Switzerland
1,1,2,6,117,United Kingdom
1,1,2,5,113,USA
1,1,2,2,20,Canada
1,1,2,1,10,Belgium
1,1,2,1,23,China
1,1,2,1,35,France
1,1,2,1,36,Germany
1,1,2,1,51,Japan
1,1,2,1,101,Sweden
1,1,2,1,114,USSR
1,1,3,5,117,United Kingdom
1,1,3,3,113,USA
1,1,3,2,36,Germany
1,1,3,1,51,Japan
1,1,4,11,113,USA
1,1,4,4,117,United Kingdom
1,1,4,2,6,Australia
1,1,4,2,20,Canada
1,1,4,2,35,France
1,1,4,2,36,Germany
1,1,4,1,10,Belgium
1,1,4,1,23,China
1,1,4,1,28,Denmark
1,1,4,1,34,Finland
1,1,4,1,107,Netherlands
1,1,4,1,102,Switzerland
1,1,5,14,113,USA
1,1,5,7,117,United Kingdom
1,1,5,3,114,USSR
1,1,5,2,6,Australia
1,1,5,2,20,Canada
1,1,5,2,1,N/A
1,1,5,2,107,Netherlands
1,1,5,1,10,Belgium
1,1,5,1,23,China
1,1,5,1,28,Denmark
1,1,5,1,35,France
1,1,5,1,44,India
1,1,5,1,51,Japan
1,1,5,1,74,Nigeria
1,1,6,11,113,USA
1,1,6,3,117,United Kingdom
1,1,7,18,113,USA
1,1,7,4,6,Australia
1,1,7,4,117,United Kingdom
1,1,7,2,20,Canada
1,1,7,2,23,China
1,1,7,2,36,Germany
1,1,7,2,114,USSR
1,1,7,1,35,France
1,1,7,1,44,India
1,1,7,1,51,Japan
1,1,7,1,1,N/A
1,1,7,1,74,Nigeria
1,1,7,1,101,Sweden
1,1,7,1,102,Switzerland
1,1,7,1,104,Tanzania
1,1,8,14,113,USA
1,1,8,6,117,United Kingdom
1,1,8,3,36,Germany
1,1,8,2,6,Australia
1,1,8,2,16,Brazil
1,1,8,2,114,USSR
1,1,8,1,20,Canada
1,1,8,1,23,China
1,1,8,1,32,Ethiopia
1,1,8,1,44,India
1,1,8,1,51,Japan
1,1,8,1,53,Kenya
1,1,8,1,107,Netherlands
1,1,8,1,74,Nigeria
1,1,9,6,117,United Kingdom
1,1,9,2,113,USA
1,1,9,1,5,Argentina
1,1,9,1,28,Denmark
1,1,9,1,35,France
1,1,9,1,51,Japan
1,1,9,1,107,Netherlands
1,1,9,1,75,Norway
1,1,9,1,102,Switzerland
1,2,2,5,6,Australia
1,2,2,5,113,USA
1,2,2,2,20,Canada
1,2,2,2,44,India
1,2,2,2,51,Japan
1,2,2,2,73,New Zealand
1,2,2,2,82,Poland
1,2,2,2,117,United Kingdom
1,2,2,2,114,USSR
1,2,2,1,12,Benin
1,2,2,1,16,Brazil
1,2,2,1,23,China
1,2,2,1,25,Costa Rica
1,2,2,1,27,Czech Republic
1,2,2,1,32,Ethiopia
1,2,2,1,34,Finland
1,2,2,1,36,Germany
1,2,2,1,42,Hungary
1,2,2,1,47,Ireland
1,2,2,1,48,Israel
1,2,2,1,53,Kenya
1,2,2,1,74,Nigeria
1,2,2,1,81,Philippines
1,2,2,1,105,Thailand
1,2,2,1,121,Vietnam
1,2,3,8,20,Canada
1,2,3,5,113,USA
1,2,3,2,6,Australia
1,2,3,2,74,Nigeria
1,2,3,2,117,United Kingdom
1,2,3,1,36,Germany
1,2,3,1,64,Mexico
1,2,3,1,1,N/A
1,2,3,1,107,Netherlands
1,2,3,1,73,New Zealand
1,2,3,1,75,Norway
1,2,4,9,1,N/A
1,2,4,2,113,USA
1,2,4,1,6,Australia
1,2,4,1,10,Belgium
1,2,4,1,20,Canada
1,2,4,1,23,China
1,2,4,1,73,New Zealand
1,2,4,1,83,Portugal
1,2,4,1,117,United Kingdom
1,2,4,1,114,USSR
1,2,5,29,1,N/A
1,2,5,3,51,Japan
1,2,5,3,113,USA
1,2,5,1,20,Canada
1,2,5,1,23,China
1,2,5,1,36,Germany
1,2,5,1,45,Indonesia
1,2,5,1,53,Kenya
1,2,6,21,1,N/A
1,2,6,2,113,USA
1,2,6,2,114,USSR
1,2,6,1,6,Australia
1,2,6,1,20,Canada
1,2,7,10,20,Canada
1,2,7,7,113,USA
1,2,7,4,114,USSR
1,2,7,2,73,New Zealand
1,2,7,1,6,Australia
1,2,7,1,23,China
1,2,7,1,64,Mexico
1,2,7,1,1,N/A
1,2,7,1,107,Netherlands
1,2,7,1,75,Norway
1,2,7,1,117,United Kingdom
1,3,1,1,113,USA
1,3,10,1,35,France
1,3,10,1,107,Netherlands
1,3,11,1,20,Canada
1,3,11,1,62,Malta
1,3,11,1,117,United Kingdom
1,3,2,1,107,Netherlands
1,3,2,1,113,USA
1,3,3,1,23,China
1,3,3,1,51,Japan
1,3,4,1,113,USA
1,3,5,6,113,USA
1,3,5,4,107,Netherlands
1,3,5,4,73,New Zealand
1,3,5,3,6,Australia
1,3,6,9,113,USA
1,3,6,4,35,France
1,3,6,4,117,United Kingdom
1,3,6,3,6,Australia
1,3,6,3,51,Japan
1,3,6,2,16,Brazil
1,3,6,2,20,Canada
1,3,6,2,23,China
1,3,6,2,44,India
1,3,6,2,102,Switzerland
1,3,6,1,10,Belgium
1,3,6,1,49,Italy
1,3,6,1,53,Kenya
1,3,6,1,62,Malta
1,3,6,1,72,Nepal
1,3,6,1,107,Netherlands
1,3,6,1,88,Saudi Arabia
1,3,6,1,104,Tanzania
1,3,6,1,114,USSR
1,3,6,1,123,Zimbabwe
1,3,7,2,113,USA
1,3,8,1,16,Brazil
1,3,8,1,51,Japan
1,3,9,1,6,Australia
1,3,9,1,73,New Zealand
2,1,1,1,16,Brazil
2,1,1,1,117,United Kingdom
2,1,1,1,113,USA
2,1,10,6,113,USA
2,1,10,5,20,Canada
2,1,10,4,117,United Kingdom
2,1,10,2,36,Germany
2,1,10,1,6,Australia
2,1,10,1,13,Bermuda
2,1,10,1,48,Israel
2,1,11,1,20,Canada
2,1,11,1,117,United Kingdom
2,1,11,1,113,USA
2,1,2,36,113,USA
2,1,2,9,36,Germany
2,1,2,9,117,United Kingdom
2,1,2,5,35,France
2,1,2,3,44,India
2,1,2,2,6,Australia
2,1,2,2,75,Norway
2,1,2,1,16,Brazil
2,1,2,1,20,Canada
2,1,2,1,23,China
2,1,2,1,51,Japan
2,1,2,1,107,Netherlands
2,1,2,1,86,Russian Federation
2,1,2,1,101,Sweden
2,1,2,1,102,Switzerland
2,1,2,1,120,Venezuela
2,1,3,36,113,USA
2,1,3,18,86,Russian Federation
2,1,3,11,6,Australia
2,1,3,7,20,Canada
2,1,3,6,117,United Kingdom
2,1,3,3,23,China
2,1,3,3,36,Germany
2,1,3,2,35,France
2,1,3,2,44,India
2,1,3,2,51,Japan
2,1,3,2,102,Switzerland
2,1,3,1,5,Argentina
2,1,3,1,16,Brazil
2,1,3,1,28,Denmark
2,1,3,1,49,Italy
2,1,3,1,53,Kenya
2,1,3,1,107,Netherlands
2,1,3,1,103,Taiwan
2,1,4,23,113,USA
2,1,4,5,117,United Kingdom
2,1,4,2,36,Germany
2,1,4,1,16,Brazil
2,1,4,1,20,Canada
2,1,4,1,35,France
2,1,4,1,73,New Zealand
2,1,4,1,86,Russian Federation
2,1,4,1,101,Sweden
2,1,4,1,102,Switzerland
2,1,5,38,113,USA
2,1,5,9,6,Australia
2,1,5,7,117,United Kingdom
2,1,5,6,20,Canada
2,1,5,6,51,Japan
2,1,5,4,36,Germany
2,1,5,2,23,China
2,1,5,1,35,France
2,1,5,1,49,Italy
2,1,5,1,86,Russian Federation
2,1,6,26,113,USA
2,1,6,12,6,Australia
2,1,6,12,117,United Kingdom
2,1,6,7,36,Germany
2,1,6,6,20,Canada
2,1,6,5,51,Japan
2,1,6,3,107,Netherlands
2,1,6,2,35,France
2,1,6,2,102,Switzerland
2,1,6,1,23,China
2,1,6,1,28,Denmark
2,1,6,1,34,Finland
2,1,6,1,1,N/A
2,1,6,1,75,Norway
2,1,7,7,113,USA
2,1,7,6,117,United Kingdom
2,1,7,2,35,France
2,1,7,2,36,Germany
2,1,7,2,107,Netherlands
2,1,7,1,43,Iceland
2,1,7,1,73,New Zealand
2,1,7,1,86,Russian Federation
2,1,7,1,102,Switzerland
2,1,8,21,113,USA
2,1,8,7,117,United Kingdom
2,1,8,3,6,Australia
2,1,8,2,36,Germany
2,1,8,1,20,Canada
2,1,9,19,113,USA
2,1,9,3,6,Australia
2,1,9,2,36,Germany
2,1,9,2,101,Sweden
2,1,9,2,117,United Kingdom
